App,Nav Category,Feature/Tab,Description,Maturity,Notes
Admin Panel,Operations,Dashboard,"Drag-reorderable KPI grid (revenue, avg order, paid/pending order counts, low stock, pending reviews), layout persisted per-admin via localStorage",Standard,
Admin Panel,Operations,Orders,"Storefront order management: status/time/text filters, dedicated WhatsApp-order filter, bulk status apply/delete, tracking entry, payment-status editing with Razorpay deep-link, customization-note pills, prev/next detail modal, send-email action",Built-out,Heavy edge-case handling; WhatsApp treated as first-class channel per business rules
Admin Panel,Operations,Callbacks (hidden),"Legacy callback queue, folded into Unified Inbox but kept functional for deep-links",Hidden/legacy,Not deleted, just hidden from nav
Admin Panel,Operations,Customers,"Auth-linked storefront customer directory + detail modal (orders, addresses, stats), role/disable management, CSV export",Standard,
Admin Panel,Catalogue,Products,"Deep CRUD: pricing auto-calc from print specs, homepage showcase slots (max 10), licence-compliance flagging, drag-reorder Cloudinary images, variants, custom options, bulk actions, dual-mode Excel import",Built-out,Deepest form in the file; multiple iteration rounds referenced in comments
Admin Panel,Catalogue,Categories,"Inline CRUD (name/slug/description/order/status), orphan-slug warning banner",Thin,No bulk actions or image/icon field
Admin Panel,Catalogue,Import from MakerWorld,"AI (Claude)-assisted single or bulk (up to 20) listing generation from source URLs; drafts saved hidden pending review",Built-out,Bulk-insert still writes directly via Supabase, not backend API (tracked as known gap)
Admin Panel,Catalogue,Reviews,"Two separate systems: per-product review moderation (status/rating/product filters) and curated homepage Google Reviews / trust-section editor",Standard,Two rating sources intentionally distinct per business rules
Admin Panel,Catalogue,Product Studio,"Per-product AI image-prompt generator (6 live text prompts for external tools like Midjourney/Tripo3D, does not generate images itself), custom per-category attribute fields, prompt history log",Built-out,Sophisticated pairing with MakerWorld Import
Admin Panel,Inbox,Unified Inbox,"Merges callbacks/messages/enquiries into one filterable table with source/status/date filters",Standard,
Admin Panel,Inbox,Messages (hidden),Legacy detail panel retained for Unified Inbox deep-links,Hidden/legacy,
Admin Panel,Inbox,Enquiries (hidden),Legacy detail panel retained for Unified Inbox deep-links,Hidden/legacy,
Admin Panel,Marketing,Promo Codes,"Standard coupon CRUD: type/value/min-order/usage-limit/per-product scope/expiry",Standard,
Admin Panel,Marketing,Analytics,GA4 traffic integration (service-account backed) plus internal analytics,Standard,
Admin Panel,Marketing,Site Content,"Live CMS: announcement bar (3 rotating notices), social/contact links, Stories CMS, Anthropic API key field, admin password change",Standard,States document customization moved to Business OS Settings
Admin Panel,System,Activity Log,"Search over admin_logs audit trail (who/what/when/detail)",Standard,
Admin Panel,System,Security Logs,"Login/security event table: time, action, email, IP, device, location, result",Standard,
Admin Panel,System,Recycle Bin,"Generic soft-delete restore/purge across multiple entity types, bulk restore/delete-forever/empty-all",Built-out,Shared generic bulkSoftDelete/softDeleteOne helpers reused everywhere
Admin Panel,System,Appearance,Single setting: mobile navigation menu style picker (3 options),Thin,Nav label implies broader scope than what exists
Business OS,Overview,Today's Tasks,"Default landing tab, actionable task queue with Add Sale shortcut",Standard,
Business OS,Overview,Dashboard,"Period selector (FY/calendar/month/custom), Excel export, customizable widgets, channel chart, top products/customers, returns breakdown, trend chart, filament-used KPI",Built-out,
